ID,Raw_Text
1,"Bought a laptop last week... performance is amazing!!! but battery drains fast :("
2,"Customer from Delhi - ordered mobile, delivery late by 3 days, not happy"
3,"Product: Headphones | Sound quality good | build cheap | rating 3/5"
4,"I love this chair!!! very comfortable... will buy again :)"
5,"desk arrived broken, packaging was poor, need replacement ASAP!!!"
6,"Order#7788 Tablet delivered on time. good service."
7,"Mobile is okay okay... camera not that great :( expected better"
8,"Laptop overheating issue after 2 days of usage!!!"
9,"Chair quality decent, price reasonable, satisfied"
10,"Headphones stopped working within a week!!! very bad experience"
11,"Customer complaint: delayed shipment + wrong product received"
12,"Tablet performance smooth but battery backup average"
13,"Great product!!! fast delivery!!! highly recommended"
14,"Terrible service... no response from support team"
15,"Product okay but price too high compared to market"
